Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-09-05,1.97224,1.97224,1.95226,1.96567,3803.8702704361
2008-09-08,1.98547,1.98547,1.95226,1.96567,6053.3059462098
2008-09-09,1.96567,1.98547,1.95892,1.98547,53994.129732083
2008-09-10,1.95892,1.96567,1.85894,1.96567,25576.916757872
2008-09-11,1.97224,1.97224,1.91888,1.96567,3519.9502704237
2008-09-12,1.96567,1.96567,1.86569,1.91888,26789.33189306
2008-09-15,1.92562,1.92562,1.80567,1.80567,16852.131892626
2008-09-16,1.83221,1.86569,1.79235,1.86569,5759.5200002511
2008-09-17,1.83221,1.83905,1.77228,1.77228,6939.0486489511
2008-09-18,1.79901,1.79901,1.73232,1.73232,9783.7297301562
2008-09-19,1.79901,1.86569,1.72576,1.79901,15656.160000682
2008-09-22,1.7524,1.81899,1.7524,1.7524,4995.457297515
2008-09-23,1.79901,1.79901,1.74555,1.78569,4841.9870272381
2008-09-24,1.79235,1.79235,1.73908,1.77894,5948.0691894485
2008-09-25,1.77228,1.77228,1.71234,1.74555,9713.5718923153
2008-09-26,1.73232,1.76562,1.68562,1.76562,11258.140541031
2008-09-29,1.67896,1.7524,1.67896,1.7524,4301.5524326199
2008-09-30,1.67239,1.88567,1.65907,1.7524,35830.923244805
2008-10-01,1.79901,1.87892,1.79901,1.87892,21173.416217139
2008-10-02,1.87226,1.87892,1.83221,1.87892,16411.452973688
2008-10-03,1.87892,1.87892,1.83221,1.87892,12106.61189242
2008-10-06,1.86569,1.86569,1.86569,1.86569,2006.0756757631
2008-10-07,1.88567,1.88567,1.75914,1.77228,35471.364325871
2008-10-08,1.76562,1.76562,1.69903,1.7524,43120.761082961
2008-10-09,1.67896,1.76562,1.62577,1.76562,9994.2032436789
2008-10-10,1.67239,1.76562,1.61903,1.65251,19271.481081921
2008-10-13,1.67239,1.73908,1.67239,1.72576,28342.670271506
2008-10-14,1.74555,1.74555,1.67239,1.72576,7864.2551354779
2008-10-15,1.67239,1.69903,1.62577,1.69903,21055.024865783
2008-10-16,1.71234,1.71234,1.5725,1.66564,18993.04216299
2008-10-17,1.66564,1.66564,1.5725,1.65907,11338.164324819
2008-10-20,1.58573,1.73232,1.58573,1.66564,56739.055137608
2008-10-21,1.65251,1.65251,1.65251,1.65251,3060.6356758091
2008-10-22,1.65251,1.65251,1.59905,1.59905,13135.958919492
2008-10-23,1.56584,1.64575,1.53245,1.54586,4037.3643245003
2008-10-24,1.59905,1.59905,1.53245,1.53245,4697.2864866912
2008-10-27,1.61246,1.61246,1.50581,1.51238,14914.021622272
2008-10-28,1.51238,1.51238,1.49915,1.51238,8202.9859463035
2008-10-29,1.61246,1.61246,1.53245,1.55243,14684.912433073
2008-10-30,1.55243,1.55243,1.50581,1.50581,11148.518919405
2008-10-31,1.57907,1.57907,1.50581,1.50581,4552.5859461444
2008-11-03,1.53245,1.53245,1.51913,1.51913,2331.6518919935
2008-11-04,1.53911,1.59905,1.52579,1.56584,23535.762163188
2008-11-05,1.5725,1.59905,1.56584,1.59905,8646.9535138904
2008-11-06,1.56584,1.57907,1.52579,1.57907,9725.6302706942
2008-11-07,1.59905,1.61246,1.53245,1.59905,19324.099460302
2008-11-10,1.59905,1.59905,1.53245,1.53245,176.4908108185
2008-11-12,1.53245,1.53245,1.48593,1.48593,7575.9502706005
2008-11-13,1.48593,1.48593,1.42581,1.43256,2081.7145946853
2008-11-14,1.43256,1.53245,1.43256,1.52579,19621.174054909
2008-11-17,1.51238,1.52579,1.46577,1.46577,7559.5070273565
2008-11-18,1.44579,1.44579,1.36588,1.40592,18786.953514332
2008-11-19,1.42581,1.42581,1.33259,1.33259,3947.4745947667
2008-11-20,1.33259,1.33933,1.27256,1.33933,17906.691892672
2008-11-21,1.33259,1.38595,1.29929,1.36588,3530.9124325863
