,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Volume,Wallet,Sell,Buy
2964,2020-10-01,5.16093,5.16093,5.02975,5.16093,4464.8886488433,732.2985221472842,3779.3414119055833,,
2965,2020-10-02,5.16093,5.20472,4.98606,5.11724,14649.833514152,732.2985221472842,3747.3472894729684,,
2966,2020-10-05,5.07345,5.11724,4.98606,5.11724,5311.1675677991,732.2985221472842,3747.3472894729684,,
2967,2020-10-06,5.11724,5.11724,4.98606,5.11724,5121.5221623854,0.0,3747.3472894729684,5.11724,
2968,2020-10-07,5.11724,5.11724,5.07345,5.11724,2184.7589190142,0.0,3747.3472894729684,,
2969,2020-10-08,5.07345,5.11724,4.98606,5.07345,10440.363243698,0.0,3747.3472894729684,,
2970,2020-10-09,5.07345,5.11724,4.98606,5.11724,8788.3654057885,0.0,3747.3472894729684,,
2971,2020-10-12,5.11724,5.11724,4.98606,5.02975,3642.7264866453,0.0,3747.3472894729684,,
2972,2020-10-13,5.02975,5.11724,4.81109,5.02975,21210.687568492,0.0,3747.3472894729684,,
2973,2020-10-14,5.02975,5.02975,4.81109,4.98606,14582.96432496,0.0,3747.3472894729684,,
2974,2020-10-15,4.94227,4.98606,4.81109,4.89858,6046.7286489122,0.0,3747.3472894729684,,
2975,2020-10-16,4.98606,5.11724,4.98606,4.98606,9237.8140544567,0.0,3747.3472894729684,,
2976,2020-10-19,5.07345,5.11724,5.07345,5.11724,3678.901621782,0.0,3747.3472894729684,,
2977,2020-10-20,5.16093,5.16093,5.07345,5.16093,3307.2843244685,0.0,3747.3472894729684,,
2978,2020-10-21,5.16093,5.20472,5.02975,5.16093,10500.655135593,0.0,3747.3472894729684,,
2979,2020-10-22,5.20472,5.20472,4.98606,5.16093,3825.7945947614,0.0,3747.3472894729684,,
2980,2020-10-23,5.20472,5.20472,5.02975,5.16093,5634.551351597,726.0992281377521,3747.347289472969,,5.16093
2981,2020-10-26,5.16093,5.20472,5.02975,5.20472,2633.1113514661,726.0992281377521,3779.143174673121,,
2982,2020-10-27,5.07345,5.20472,5.07345,5.16093,1767.1005406176,726.0992281377521,3747.347289472969,,
2983,2020-10-28,5.07345,5.16093,4.81109,4.89858,11862.155676193,0.0,3556.85515697103,4.89858,
2984,2020-10-29,4.81109,4.89858,4.76731,4.89858,6751.59567597,0.0,3556.85515697103,,
2985,2020-10-30,4.81109,4.94227,4.81109,4.94227,2811.7945947172,0.0,3556.85515697103,,
